"mni_no","case_no","booking_no","arresting_agency","booking_date","release_date","bail_type","bail_amt"
"000464605","09CR01823",10000443,GARDNER P.D.,2010-01-11 00:00:00,2010-01-11 00:00:00,SUR,250.00
"000388261","10DV00051",10000456,OLATHE P.D.,2010-01-12 00:00:00,2010-01-12 00:00:00,PR,2500.00
"000594604","10DV00050",10000458,OLATHE P.D.,2010-01-12 00:00:00,2010-01-12 00:00:00,PR,1500.00
"000592372","09DV01667",10000461,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-12 00:00:00,2010-01-12 00:00:00,PR,1000.00
"000063405","10DV00025",10000464,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-12 00:00:00,2010-01-12 00:00:00,SUR,0.00
"000594162","10DV00053",10000469,OVERLAND PARK P.D.,2010-01-12 00:00:00,2011-09-20 00:00:00,,
"000476943","09CR03132",10000473,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-12 00:00:00,2010-01-12 00:00:00,SUR,1500.00
"000589690","09CR02727",10000494,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-12 00:00:00,2010-01-22 00:00:00,SUR,1500.00
"000563764","09CR03129",10000495,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-12 00:00:00,2010-01-12 00:00:00,SUR,2500.00
"000594678","10CR00069",10000496,OLATHE P.D.,2010-01-12 00:00:00,2010-01-13 00:00:00,PR,1500.00
"000594679","10CR00068",10000497,OLATHE P.D.,2010-01-12 00:00:00,2010-01-13 00:00:00,PR,1500.00
"000594680","10CR00067",10000499,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-12 00:00:00,2010-01-13 00:00:00,PR,1000.00
"000594681","10CR00065",10000500,WESTWOOD P.D.,2010-01-12 00:00:00,2010-02-03 00:00:00,PR,1000.00
"000594682","10DV00055",10000505,OVERLAND PARK P.D.,2010-01-13 00:00:00,2010-01-13 00:00:00,PR,1000.00
"000150544","10CR00066",10000507,LENEXA P.D.,2010-01-13 00:00:00,2010-01-22 00:00:00,SUR,5000.00
"000402049","10DV00054",10000508,OVERLAND PARK P.D.,2010-01-13 00:00:00,2010-01-13 00:00:00,CA,1000.00
"000594684","10CR00064",10000509,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-13 00:00:00,2010-01-13 00:00:00,PR,1500.00
"000579806","10DV00035",10000516,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-13 00:00:00,2010-01-13 00:00:00,SUR,1500.00
"000068037","10DV00061",10000524,GARDNER P.D.,2010-01-13 00:00:00,2010-02-11 00:00:00,,
"000594734","10DV00060",10000528,OLATHE P.D.,2010-01-13 00:00:00,2010-01-16 00:00:00,ORCD,1000.00
"000567711","09CR01850",10000543,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-13 00:00:00,2010-01-14 00:00:00,SUR,15000.00
"000592696","10CR00048",10000548,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-13 00:00:00,2010-01-14 00:00:00,SUR,1000.00
"000347322","10CR00083",10000549,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-13 00:00:00,2010-01-14 00:00:00,SUR,10000.00
"000177768","10CR00033",10000556,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-14 00:00:00,2010-02-15 00:00:00,SUR,25000.00
"000451591","10CR00751",10000572,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-14 00:00:00,2010-08-29 00:00:00,SUR,5000.00
"000592728","10CR00077",10000576,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-14 00:00:00,2010-01-14 00:00:00,SUR,10000.00
"000419461","10CR00087",10000578,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-14 00:00:00,2010-01-15 00:00:00,CA,1500.00
"000169452","10CR00086",10000579,PRAIRIE VILLAGE P.D.,2010-01-14 00:00:00,2010-01-17 00:00:00,SUR,10000.00
"000059882","10CR00052",10000583,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-14 00:00:00,2010-01-15 00:00:00,SUR,5000.00
"000300436","09CR03123",10000590,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-14 00:00:00,2010-01-14 00:00:00,SUR,2500.00
"000592089","09CR03050",10000592,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-14 00:00:00,2010-01-15 00:00:00,CA,250.00
"000594813","10DV00062",10000595,OLATHE P.D.,2010-01-14 00:00:00,2010-01-15 00:00:00,PR,1000.00
"000056917","10CR00088",10000597,OVERLAND PARK P.D.,2010-01-14 00:00:00,2010-02-25 00:00:00,PR,5000.00
"000594814","10DV00063",10000598,OVERLAND PARK P.D.,2010-01-15 00:00:00,2010-01-15 00:00:00,ORCD,1500.00
"000488036","10DV00024",10000599,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-15 00:00:00,2010-01-15 00:00:00,PR,5000.00
"000527028","10CR00090",10000619,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-15 00:00:00,2010-01-16 00:00:00,SUR,10000.00
"000361874","10CR00597",10000624,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-15 00:00:00,2010-09-28 00:00:00,,
"000593054","09CR03157",10000628,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-15 00:00:00,2010-01-15 00:00:00,SUR,1500.00
"000594828","10CR00089",10000637,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-15 00:00:00,2010-01-15 00:00:00,CA,7500.00
"000003780","10DV00064",10000667,OLATHE P.D.,2010-01-16 00:00:00,2010-01-19 00:00:00,PR,2500.00
"000361660","10CR00093",10000672,MERRIAM P.D.,2010-01-16 00:00:00,2010-01-18 00:00:00,SUR,7500.00
"000593546","10CR00073",10000675,OLATHE P.D.,2010-01-16 00:00:00,2010-01-16 00:00:00,SUR,10000.00
"000057777","08CR01529",10000678,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-16 00:00:00,2010-01-26 00:00:00,SUR,25000.00
"000594872","10DV00069",10000680,MERRIAM P.D.,2010-01-16 00:00:00,2010-03-03 00:00:00,PR,15000.00
"000434552","10CR00094",10000682,LENEXA P.D.,2010-01-16 00:00:00,2010-01-19 00:00:00,SUR,10000.00
"000179632","10DV00068",10000687,OLATHE P.D.,2010-01-17 00:00:00,2010-01-18 00:00:00,SUR,1500.00
"000255782","10DV00072",10000692,OVERLAND PARK P.D.,2010-01-17 00:00:00,2010-01-18 00:00:00,SUR,5000.00
"000594878","10DV00066",10000702,LENEXA P.D.,2010-01-17 00:00:00,2010-01-19 00:00:00,GPS,1500.00
"000532500","10CR00096",10000703,GARDNER P.D.,2010-01-17 00:00:00,2010-02-06 00:00:00,SUR,3500.00
"000594879","10CR00095",10000705,GARDNER P.D.,2010-01-17 00:00:00,2010-01-30 00:00:00,CA,2500.00
"000321296","09CR01084",10000710,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-17 00:00:00,2010-01-18 00:00:00,SUR,75000.00
"000589214","10DV00070",10000712,SHAWNEE P.D.,2010-01-17 00:00:00,2010-01-19 00:00:00,SUR,25000.00
"000594885","10DV00067",10000719,OLATHE P.D.,2010-01-17 00:00:00,2010-02-17 00:00:00,,
"000594886","10DV00073",10000720,OVERLAND PARK P.D.,2010-01-17 00:00:00,2010-01-19 00:00:00,PR,3000.00
"000594887","10DV00065",10000723,OLATHE P.D.,2010-01-17 00:00:00,2010-01-18 00:00:00,SUR,1000.00
"000594888","10DV00071",10000726,OVERLAND PARK P.D.,2010-01-18 00:00:00,2010-01-20 00:00:00,SUR,1500.00
"000377403","10CR00097",10000728,MISSION P.D.,2010-01-18 00:00:00,2010-07-06 00:00:00,,
"000494917","10CR00084",10000737,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-18 00:00:00,2010-07-20 00:00:00,,
"000071011","05DV01133",10000748,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-18 00:00:00,2010-04-17 00:00:00,,
"000294479","10CR00098",10000752,OVERLAND PARK P.D.,2010-01-18 00:00:00,2010-01-20 00:00:00,SUR,7500.00
"000594900","10CR00099",10000753,OVERLAND PARK P.D.,2010-01-18 00:00:00,2010-08-24 00:00:00,,
"000561199","10DV00075",10000754,OLATHE P.D.,2010-01-18 00:00:00,2010-01-19 00:00:00,PR,1500.00
"000482606","10CR00100",10000761,FAIRWAY P.D.,2010-01-19 00:00:00,2010-01-19 00:00:00,SUR,7500.00
"000368623","10DV00074",10000762,OLATHE P.D.,2010-01-19 00:00:00,2010-01-19 00:00:00,SUR,1000.00
"000020749","10CR00147",10000781,WESTWOOD P.D.,2010-01-19 00:00:00,2010-04-27 00:00:00,PR,10000.00
"000513191","10CR00165",10000789,LENEXA P.D.,2010-01-19 00:00:00,2010-12-07 00:00:00,,
"000387165","10CR00139",10000790,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-19 00:00:00,2010-01-21 00:00:00,SUR,3500.00
"000583075","09CR01575",10000791,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-19 00:00:00,2010-01-20 00:00:00,PR,1000.00
"000070498","10CR00056",10000795,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-19 00:00:00,2010-01-20 00:00:00,SUR,3500.00
"000251588","09CR02526",10000797,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-19 00:00:00,2010-04-20 00:00:00,,
"000333111","09CR02897",10000799,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-19 00:00:00,2010-04-20 00:00:00,,
"000581540","09CR01547",10000802,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-19 00:00:00,2010-06-05 00:00:00,PR,10000.00
"000277770","10CR00140",10000804,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-19 00:00:00,2010-01-20 00:00:00,SUR,2500.00
"000371474","10CR00145",10000806,OVERLAND PARK P.D.,2010-01-19 00:00:00,2010-04-05 00:00:00,,
"000432944","10DV00084",10000808,OLATHE P.D.,2010-01-19 00:00:00,2010-04-26 00:00:00,,
"000351261","10CR00141",10000813,OVERLAND PARK P.D.,2010-01-19 00:00:00,2010-02-01 00:00:00,SUR,7500.00
"000308700","10CR00146",10000815,MERRIAM P.D.,2010-01-19 00:00:00,2010-04-22 00:00:00,PR,2500.00
"000594966","10CR00144",10000816,OLATHE P.D.,2010-01-20 00:00:00,2010-02-07 00:00:00,SUR,3500.00
"000088293","10CR00142",10000817,OLATHE P.D.,2010-01-20 00:00:00,2010-02-01 00:00:00,SUR,3500.00
"000061002","10CR00143",10000818,OLATHE P.D.,2010-01-20 00:00:00,2010-02-05 00:00:00,SUR,3500.00
"000112368","10DV00083",10000819,GARDNER P.D.,2010-01-20 00:00:00,2010-01-20 00:00:00,PR,2000.00
"000386790","10DV00081",10000820,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-20 00:00:00,2010-03-12 00:00:00,,
"000082144","10DV00082",10000824,MISSION P.D.,2010-01-20 00:00:00,2010-01-20 00:00:00,SUR,2500.00
"000558154","10DV00080",10000825,OVERLAND PARK P.D.,2010-01-20 00:00:00,2010-01-24 00:00:00,SUR,1500.00
"000360931","10CR00057",10000830,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-20 00:00:00,2011-05-03 00:00:00,,
"000414785","10CR00074",10000836,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-20 00:00:00,2010-03-30 00:00:00,,
"000515364","10CR00062",10000837,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-20 00:00:00,2010-01-20 00:00:00,SUR,3500.00
"000490203","10CR00081",10000839,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-20 00:00:00,2010-03-01 00:00:00,SUR,3500.00
"000588836","10CR00148",10000843,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-20 00:00:00,2010-01-20 00:00:00,PR,1000.00
"000594347","10CR00122",10000845,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-20 00:00:00,2010-01-20 00:00:00,SUR,3500.00
"000594990","10CR00172",10000851,KANSAS HIGHWAY PATROL,2010-01-20 00:00:00,2010-01-22 00:00:00,SUR,2500.00
"000593202","10CR00109",10000852,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-20 00:00:00,2010-01-20 00:00:00,SUR,5000.00
"000115683","10DV00088",10000857,PRAIRIE VILLAGE P.D.,2010-01-20 00:00:00,2010-01-21 00:00:00,PR,2000.00
"000331425","09CR02421",10000860,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-20 00:00:00,2010-01-21 00:00:00,SUR,50000.00
"000143040","09CR01401",10000861,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-20 00:00:00,2010-01-21 00:00:00,PR,2500.00
"000491031","10CR00092",10000862,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-20 00:00:00,2010-05-18 00:00:00,SUR,10000.00
"000583454","09CR02170",10000863,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-20 00:00:00,2010-01-20 00:00:00,SUR,1500.00
"000515601","10DV00089",10000866,LENEXA P.D.,2010-01-20 00:00:00,2010-01-21 00:00:00,CA,1000.00
"000429210","10CR00163",10000876,OLATHE P.D.,2010-01-21 00:00:00,2010-01-21 00:00:00,SUR,5000.00
"000175503","10CR00164",10000880,SHAWNEE P.D.,2010-01-21 00:00:00,2010-01-21 00:00:00,SUR,5000.00
"000595005","10CR00167",10000881,ROELAND PARK P.D.,2010-01-21 00:00:00,2010-01-21 00:00:00,SUR,3500.00
"000595006","10CR00166",10000882,ROELAND PARK P.D.,2010-01-21 00:00:00,2010-01-21 00:00:00,SUR,3500.00
"000461003","10CR00175",10000883,LEAWOOD P.D.,2010-01-21 00:00:00,2010-02-03 00:00:00,SUR,22000.00
"000486135","10CR00174",10000884,LEAWOOD P.D.,2010-01-21 00:00:00,2010-03-25 00:00:00,PR,2500.00
"000525961","10CR00055",10000886,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-21 00:00:00,2010-01-21 00:00:00,SUR,1000.00
"000117236","10CR00118",10000890,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-21 00:00:00,2010-01-21 00:00:00,SUR,3500.00
"000593515","10CR00123",10000891,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-21 00:00:00,2010-01-21 00:00:00,SUR,3500.00
"000467186","10CR00104",10000900,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-21 00:00:00,2010-01-21 00:00:00,SUR,5000.00
"000440836","09CR01813",10000908,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-21 00:00:00,2010-03-01 00:00:00,,
"000595060","10CR00170",10000916,LENEXA P.D.,2010-01-21 00:00:00,2010-01-22 00:00:00,SUR,2500.00
"000495375","10CR00058",10000922,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-21 00:00:00,2010-01-22 00:00:00,SUR,1500.00
"000595064","10DV00091",10000923,MISSION P.D.,2010-01-21 00:00:00,2010-01-22 00:00:00,PR,1500.00
"000593876","10CR00079",10000926,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-21 00:00:00,2011-05-31 00:00:00,,
"000594867","10CR00091",10000927,JOHNSON COUNTY SHERIFF'S DEPARTMENT,2010-01-21 00:00:00,2010-08-09 00:00:00,PR,0.00
"000486088","10DV00090",10000935,OVERLAND PARK P.D.,2010-01-22 00:00:00,2010-01-22 00:00:00,PR,1500.00
"000277908","10CR00195",10000938,LENEXA P.D.,2010-01-22 00:00:00,2010-10-26 00:00:00,,
"000427087","10CR00196",10000939,LENEXA P.D.,2010-01-22 00:00:00,2010-04-13 00:00:00,PR,500000.00
